# 2017-02-25 17:40:17.479122
# CT_x9
#  path: ../data_final/CT_x9/
#  thresholds: -444.68, 332.0
#  DC-average: 0.9737 (radius = 4)
#  DC-average (opti): 0.9737 (bestRadius: 3.98)
# MR_x9
#  path: ../data_final/MR_x9/
#  thresholds: 690.36, 2078.0
#  DC-average: 0.8779 (radius = 2)
#  DC-average (opti): 0.9016 (bestRadius: 2.1)
#  DC-average (CT-COM): 0.7542
#  DC-average (CT-COM, opti): 0.7656
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  DC_CT  DC_CT_opti  DC_MR  DC_MR_opti  DC_MR_CT-COM  DC_MR_opti_CT-COM  warpDC  warpDC_opti
174     -1.0     -1.0     -1.0     -1.0     -1.0     0.903     0.9577     -1.0     -1.0     -1.0     -1.0
175     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9544     -1.0     -1.0     -1.0     -1.0
176     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9544     -1.0     -1.0     -1.0     -1.0
177     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9544     -1.0     -1.0     -1.0     -1.0
178     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9544     -1.0     -1.0     -1.0     -1.0
179     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9544     -1.0     -1.0     -1.0     -1.0
180     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9544     -1.0     -1.0     -1.0     -1.0
181     -1.0     -1.0     -1.0     -1.0     -1.0     0.903     0.9577     -1.0     -1.0     -1.0     -1.0
182     -1.0     -1.0     -1.0     -1.0     -1.0     0.903     0.9577     -1.0     -1.0     -1.0     -1.0
183     -1.0     -1.0     -1.0     -1.0     -1.0     0.8989     0.9541     -1.0     -1.0     -1.0     -1.0
184     -1.0     -1.0     -1.0     -1.0     -1.0     0.9023     0.9504     -1.0     -1.0     -1.0     -1.0
185     -1.0     -1.0     -1.0     -1.0     -1.0     0.9023     0.9504     -1.0     -1.0     -1.0     -1.0
186     -1.0     -1.0     -1.0     -1.0     -1.0     0.9023     0.9504     -1.0     -1.0     -1.0     -1.0
187     -1.0     -1.0     -1.0     -1.0     -1.0     0.9023     0.9504     -1.0     -1.0     -1.0     -1.0
188     -1.0     -1.0     -1.0     -1.0     -1.0     0.9057     0.9466     -1.0     -1.0     -1.0     -1.0
189     -1.0     -1.0     -1.0     -1.0     -1.0     0.9057     0.9466     -1.0     -1.0     -1.0     -1.0
190     -1.0     -1.0     -1.0     -1.0     -1.0     0.9057     0.9466     -1.0     -1.0     -1.0     -1.0
191     -1.0     -1.0     -1.0     -1.0     -1.0     0.9057     0.9466     -1.0     -1.0     -1.0     -1.0
192     -1.0     -1.0     -1.0     -1.0     -1.0     0.9057     0.9466     -1.0     -1.0     -1.0     -1.0
193     -1.0     -1.0     -1.0     -1.0     -1.0     0.9057     0.9466     -1.0     -1.0     -1.0     -1.0
194     0.0438     -0.708     0.7093     0.9551     0.9551     0.883     0.8968     0.7019     0.7197     0.083     0.0732
195     0.0419     -0.7038     0.705     0.955     0.955     0.883     0.8968     0.7019     0.7197     0.0825     0.0728
196     0.0386     -0.7024     0.7035     0.9559     0.9559     0.883     0.8968     0.7019     0.7197     0.0823     0.0726
197     0.0397     -0.6954     0.6965     0.9559     0.9559     0.883     0.8968     0.7019     0.7197     0.0815     0.0719
198     0.041     -0.6936     0.6948     0.9579     0.9579     0.8906     0.9039     0.7094     0.7266     0.076     0.0668
199     0.0446     -0.6907     0.6922     0.9579     0.9579     0.8947     0.9078     0.7143     0.731     0.0729     0.0638
200     0.0514     -0.6967     0.6986     0.9579     0.9579     0.8939     0.9071     0.7121     0.7292     0.0741     0.0649
201     0.0569     -0.7008     0.7031     0.9579     0.9579     0.8897     0.9032     0.7072     0.7247     0.0775     0.068
202     0.0606     -0.7051     0.7077     0.9599     0.9599     0.8897     0.9032     0.7072     0.7247     0.078     0.0685
203     0.0665     -0.696     0.6991     0.9589     0.9589     0.8897     0.9032     0.7072     0.7247     0.0771     0.0677
204     0.0715     -0.6945     0.6982     0.9588     0.9588     0.8931     0.8993     0.7023     0.7203     0.0746     0.0703
