# 2017-01-13 18:03:14.757318
# CT_x100
#  path: ../data_final/CT_x100/
#  thresholds: -457.4, 329.0
#  dc-average: 0.99 (radius = 4)
#  dc-average (opti): 0.99 (bestRadius: 4.0)
# MR_x100
#  path: ../data_final/MR_x100/
#  thresholds: 707.85, 2095.0
#  dc-average: 0.8977 (radius = 2)
#  dc-average (opti): 0.9247 (bestRadius: 2.12)
#  dc-average (CT-COM): 0.783
#  dc-average (CT-COM, opti): 0.7872
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM
186     -1.0     -1.0     -1.0     -1.0     -1.0     0.913     0.9542     -1.0     -1.0
187     -1.0     -1.0     -1.0     -1.0     -1.0     0.9136     0.9535     -1.0     -1.0
188     -1.0     -1.0     -1.0     -1.0     -1.0     0.9143     0.9535     -1.0     -1.0
189     -1.0     -1.0     -1.0     -1.0     -1.0     0.9135     0.9528     -1.0     -1.0
190     -1.0     -1.0     -1.0     -1.0     -1.0     0.9138     0.9518     -1.0     -1.0
191     -1.0     -1.0     -1.0     -1.0     -1.0     0.9137     0.9518     -1.0     -1.0
192     -1.0     -1.0     -1.0     -1.0     -1.0     0.914     0.9515     -1.0     -1.0
193     -1.0     -1.0     -1.0     -1.0     -1.0     0.9144     0.9518     -1.0     -1.0
194     0.0434     -0.7079     0.7092     0.9834     0.9834     0.9144     0.9524     0.7768     0.7819
195     0.0418     -0.7038     0.7051     0.9852     0.9852     0.9144     0.9524     0.7768     0.7819
196     0.0395     -0.7023     0.7034     0.988     0.988     0.9136     0.9529     0.7791     0.7841
197     0.0409     -0.6952     0.6964     0.9878     0.9878     0.9146     0.9532     0.7808     0.7856
198     0.0424     -0.6937     0.695     0.9873     0.9873     0.9143     0.9529     0.7812     0.786
199     0.046     -0.6912     0.6927     0.9868     0.9868     0.913     0.9523     0.7822     0.787
200     0.0527     -0.6968     0.6988     0.9861     0.9861     0.9146     0.9519     0.7822     0.787
201     0.0583     -0.7009     0.7034     0.9858     0.9858     0.9155     0.9515     0.7814     0.7863
202     0.0619     -0.7053     0.708     0.9858     0.9858     0.917     0.9504     0.7812     0.7861
203     0.0676     -0.6963     0.6996     0.9859     0.9859     0.9177     0.951     0.7811     0.786
204     0.0723     -0.6955     0.6993     0.9857     0.9857     0.9183     0.9503     0.7816     0.7865
205     0.0747     -0.6972     0.7012     0.9861     0.9861     0.9192     0.9499     0.7795     0.7845
206     0.075     -0.6939     0.698     0.9862     0.9862     0.9196     0.9502     0.7798     0.7847
207     0.0698     -0.6956     0.6991     0.986     0.986     0.9209     0.9502     0.7809     0.7858
208     0.0733     -0.6949     0.6987     0.9859     0.9859     0.9225     0.9504     0.7815     0.7864
209     0.0728     -0.6874     0.6912     0.9858     0.9858     0.9228     0.9494     0.7817     0.7865
210     0.0759     -0.6826     0.6868     0.9854     0.9854     0.9227     0.9494     0.7822     0.7864
211     0.0721     -0.6843     0.6881     0.9854     0.9854     0.9246     0.9492     0.7844     0.7885
212     0.0745     -0.6957     0.6997     0.986     0.986     0.9255     0.9495     0.7844     0.7885
213     0.0751     -0.6899     0.694     0.9867     0.9867     0.9266     0.9491     0.7868     0.7908
214     0.0666     -0.6847     0.6879     0.9857     0.9857     0.926     0.9499     0.7899     0.7937
215     0.0738     -0.6778     0.6818     0.9844     0.9844     0.9256     0.9502     0.7911     0.7948
216     0.0692     -0.6662     0.6698     0.9863     0.9863     0.9263     0.9509     0.7918     0.7955
217     0.0742     -0.6692     0.6733     0.9859     0.9859     0.9228     0.9469     0.7932     0.7968
218     0.0778     -0.6641     0.6687     0.9848     0.9848     0.9229     0.9483     0.7956     0.7991
219     0.0739     -0.6526     0.6568     0.9851     0.9851     0.9217     0.9504     0.7989     0.8028
220     0.084     -0.6697     0.675     0.9943     0.9943     0.9241     0.9455     0.7942     0.7964
221     0.0853     -0.6798     0.6852     0.9941     0.9941     0.9243     0.9457     0.7927     0.795
222     0.0952     -0.6731     0.6798     0.9932     0.9932     0.9281     0.948     0.792     0.7944
223     0.1038     -0.6767     0.6846     0.9935     0.9935     0.9278     0.9451     0.7911     0.7908
224     0.0991     -0.6895     0.6966     0.9927     0.9927     0.9297     0.945     0.7877     0.7876
225     0.0927     -0.6962     0.7024     0.9914     0.9914     0.9317     0.9455     0.7849     0.7849
226     0.0931     -0.6796     0.686     0.9923     0.9923     0.9313     0.9445     0.7852     0.7852
227     0.0936     -0.6774     0.6839     0.9924     0.9924     0.9277     0.9431     0.7903     0.79
228     0.0797     -0.664     0.6688     0.9839     0.9839     0.9224     0.9427     0.7984     0.7991
229     0.0775     -0.6496     0.6542     0.9844     0.9844     0.9205     0.9442     0.8004     0.8016
230     0.0773     -0.6391     0.6438     0.9837     0.9837     0.9181     0.9444     0.8051     0.8067
231     0.0829     -0.6554     0.6606     0.9831     0.9831     0.9167     0.9457     0.7803     0.7833
232     0.0908     -0.6264     0.633     0.9893     0.9893     0.9143     0.9459     0.7821     0.7856
233     0.0878     -0.6194     0.6255     0.9898     0.9898     0.9127     0.9437     0.7856     0.7889
234     0.0912     -0.6138     0.6205     0.9895     0.9895     0.9124     0.9454     0.7916     0.7946
235     0.0854     -0.6065     0.6125     0.9876     0.9876     0.9116     0.9466     0.7955     0.7983
236     0.0916     -0.5702     0.5775     0.9889     0.9889     0.9139     0.9488     0.7992     0.8017
237     0.093     -0.5493     0.5571     0.9885     0.9885     0.914     0.9495     0.8028     0.8058
238     0.0932     -0.5403     0.5483     0.9895     0.9895     0.9146     0.9514     0.8062     0.809
239     0.1077     -0.5489     0.5593     0.9927     0.9927     0.9149     0.9511     0.8092     0.8119
240     0.1116     -0.5294     0.541     0.9914     0.9914     0.9181     0.9509     0.8169     0.8191
241     0.1137     -0.5011     0.5138     0.9926     0.9926     0.9152     0.9482     0.8244     0.8242
242     0.1216     -0.4716     0.4871     0.9914     0.9914     0.9158     0.9481     0.8305     0.8293
243     0.1129     -0.4495     0.4635     0.9928     0.9928     0.9183     0.9486     0.837     0.8355
244     0.103     -0.4261     0.4384     0.993     0.993     0.921     0.9511     0.8437     0.8418
245     0.0995     -0.396     0.4083     0.9922     0.9922     0.9208     0.9471     0.8512     0.8481
246     0.1078     -0.3558     0.3718     0.9905     0.9905     0.9191     0.9475     0.8574     0.8541
247     0.1089     -0.3423     0.3592     0.9907     0.9907     0.918     0.9483     0.86     0.8571
248     0.1118     -0.334     0.3522     0.9902     0.9902     0.9154     0.9498     0.8605     0.8603
249     0.111     -0.3388     0.3565     0.989     0.989     0.9136     0.9506     0.8624     0.8627
