# 2017-01-17 14:59:40.310514
# CT_x25
#  path: ../data_final/CT_x25/
#  thresholds: -457.88, 331.0
#  DC-average: 0.9771 (radius = 4)
#  DC-average (opti): 0.9771 (bestRadius: 4.0)
# MR_x25
#  path: ../data_final/MR_x25/
#  thresholds: 705.15, 2087.0
#  DC-average: 0.8943 (radius = 2)
#  DC-average (opti): 0.9145 (bestRadius: 2.16)
#  DC-average (CT-COM): 0.7664
#  DC-average (CT-COM, opti): 0.7715
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  DC_CT  DC_CT_opti  DC_MR  DC_MR_opti  DC_MR_CT-COM  DC_MR_opti_CT-COM  warpDC  warpDC_opti
182     -1.0     -1.0     -1.0     -1.0     -1.0     0.9008     0.9383     -1.0     -1.0     -0.0992     -0.0617
183     -1.0     -1.0     -1.0     -1.0     -1.0     0.9008     0.9383     -1.0     -1.0     -0.0992     -0.0617
184     -1.0     -1.0     -1.0     -1.0     -1.0     0.9008     0.9383     -1.0     -1.0     -0.0992     -0.0617
185     -1.0     -1.0     -1.0     -1.0     -1.0     0.9008     0.9383     -1.0     -1.0     -0.0992     -0.0617
186     -1.0     -1.0     -1.0     -1.0     -1.0     0.9008     0.9383     -1.0     -1.0     -0.0992     -0.0617
187     -1.0     -1.0     -1.0     -1.0     -1.0     0.9008     0.9383     -1.0     -1.0     -0.0992     -0.0617
188     -1.0     -1.0     -1.0     -1.0     -1.0     0.9008     0.9383     -1.0     -1.0     -0.0992     -0.0617
189     -1.0     -1.0     -1.0     -1.0     -1.0     0.9021     0.9395     -1.0     -1.0     -0.0979     -0.0605
190     -1.0     -1.0     -1.0     -1.0     -1.0     0.9021     0.9395     -1.0     -1.0     -0.0979     -0.0605
191     -1.0     -1.0     -1.0     -1.0     -1.0     0.9033     0.9381     -1.0     -1.0     -0.0967     -0.0619
192     -1.0     -1.0     -1.0     -1.0     -1.0     0.9046     0.9394     -1.0     -1.0     -0.0954     -0.0606
193     -1.0     -1.0     -1.0     -1.0     -1.0     0.9058     0.9406     -1.0     -1.0     -0.0942     -0.0594
194     0.0437     -0.7076     0.7089     0.9651     0.9651     0.9046     0.9394     0.7497     0.7575     0.0677     0.043
195     0.0419     -0.7035     0.7048     0.9661     0.9661     0.9046     0.9394     0.7497     0.7575     0.0673     0.0427
196     0.0392     -0.7021     0.7032     0.9689     0.9689     0.9046     0.9394     0.7497     0.7575     0.0671     0.0426
197     0.0405     -0.6948     0.696     0.97     0.97     0.9021     0.9395     0.7503     0.7582     0.0682     0.0421
198     0.042     -0.6933     0.6946     0.9707     0.9707     0.9033     0.9407     0.7514     0.7592     0.0672     0.0412
199     0.0456     -0.6908     0.6923     0.9703     0.9703     0.9021     0.9421     0.7531     0.7608     0.0678     0.0401
200     0.0524     -0.6964     0.6983     0.9696     0.9696     0.9046     0.9394     0.7524     0.7602     0.0666     0.0424
201     0.0579     -0.7005     0.7029     0.9707     0.9707     0.9058     0.9406     0.7535     0.7612     0.0662     0.0418
202     0.0617     -0.705     0.7077     0.9696     0.9696     0.9071     0.9418     0.7545     0.7622     0.0658     0.0412
203     0.0674     -0.696     0.6992     0.9699     0.9699     0.9096     0.9416     0.7538     0.7615     0.0632     0.0408
204     0.0721     -0.6952     0.6989     0.9691     0.9691     0.9096     0.9416     0.7538     0.7615     0.0632     0.0408
